Dataset,Execution_Time(ms)
nell-2,6.79482
chicago-crime-comm,0.001984
uber,0.0024
delicious-3d,ERROR
flickr-3d,ERROR
matmul_5-5-5,1.00374
matmul_6-3-3,0.331776
nell-1,ERROR
flickr-4d,ERROR
vast-2015-mc1-3d,14.1899
delicious-4d,ERROR
Y1,ERROR
chicago-crime-comm_sib_3d,9.71402
enron_sib_3d,12.3987
flickr-4d_sib_3d,ERROR
nips_sib_3d,13.7699
uber_sib_3d,0.555776
chicago-crime-geo_sib_3d,1.33958
vast-2015-mc1-5d_sib_3d,9.49347
darpa_sib,ERROR
freebase_music_sib,ERROR
freebase_sampled_sib,ERROR
nips,0.001984
enron,0.002048
